x,y,z,size
4.109387,4.21686,23.41508,0.01
4.109387,4.21686,23.41508,0.01
4.109387,4.21686,23.41508,0.01
4.269964,4.308024,23.41508,0.01
4.269964,4.308024,23.41508,0.01
4.269964,4.308024,23.41508,0.01
4.210836,4.310688,23.41508,0.01
4.210836,4.310688,23.41508,0.01
4.210836,4.310688,23.41508,0.01
0.9584634,1.135063,23.41508,0.01
0.9584634,1.135063,23.41508,0.01
0.9584634,1.135063,23.41508,0.01
0.9584634,1.135063,23.41508,0.01
0.7512051,0.9555902,23.41508,0.01
0.7512051,0.9555902,23.41508,0.01
0.7512051,0.9555902,23.41508,0.01
0.8285723,0.6821404,23.41508,0.01
0.8442275,0.670543,23.41508,0.01
0.8442275,0.670543,23.41508,0.01
0.8442275,0.670543,23.41508,0.01
0.8539549,0.6090627,23.41508,0.01
0.8539549,0.6090627,23.41508,0.01
0.8539549,0.6090627,23.41508,0.01
0.8634293,0.607334,23.41508,0.01
0.8634293,0.607334,23.41508,0.01
0.8622411,0.6068844,23.41508,0.01
0.8651239,0.5814815,23.41508,0.01
0.8651239,0.5814815,23.41508,0.01
0.8651239,0.5814815,23.41508,0.01
0.8738044,0.5500149,23.41508,0.01
0.8738044,0.5500149,23.41508,0.01
0.8738044,0.5500149,23.41508,0.01
0.8738044,0.5500149,23.41508,0.01
0.8673396,-0.3535373,23.41508,0.01
0.8673396,-0.3535373,23.41508,0.01
0.8673396,-0.3535373,23.41508,0.01
0.9459141,0.4798401,23.41508,0.01
0.9459141,0.4798401,23.41508,0.01
0.9459141,0.4798401,23.41508,0.01
1.005744,0.649344,23.41508,0.01
1.005744,0.649344,23.41508,0.01
1.005744,0.649344,23.41508,0.01
0.9928886,0.6081098,23.41508,0.01
0.9928886,0.6081098,23.41508,0.01
0.9928886,0.6081098,23.41508,0.01
0.9928886,0.6081098,23.41508,0.01
0.9889199,0.5709332,23.41508,0.01
0.9889199,0.5709332,23.41508,0.01
0.9889199,0.5709332,23.41508,0.01
0.9775952,0.5234494,23.41508,0.01
0.9775952,0.5234494,23.41508,0.01
0.9775952,0.5234494,23.41508,0.01
0.4305041,-0.4130363,23.41508,0.01
0.4305041,-0.4130363,23.41508,0.01
0.4305041,-0.4130363,23.41508,0.01
-0.349933,0.560631,23.41508,0.01
-0.349933,0.560631,23.41508,0.01
-0.349933,0.560631,23.41508,0.01
-0.349933,0.560631,23.41508,0.01
-0.4501848,0.6397047,23.41508,0.01
-0.4501848,0.6397047,23.41508,0.01
-0.4501848,0.6397047,23.41508,0.01
1.172178,0.5943843,23.41508,0.01
1.172178,0.5943843,23.41508,0.01
1.172178,0.5943843,23.41508,0.01
1.470891,0.5699056,23.41508,0.01
1.470891,0.5699056,23.41508,0.01
1.470891,0.5699056,23.41508,0.01
1.515795,0.6065067,23.41508,0.01
1.515795,0.6065067,23.41508,0.01
1.515795,0.6065067,23.41508,0.01
1.515795,0.6065067,23.41508,0.01
-0.1287517,0.581019,23.41508,0.01
-0.1287517,0.581019,23.41508,0.01
-0.1287517,0.581019,23.41508,0.01
-0.1763276,0.5375721,23.41508,0.01
-0.1763276,0.5375721,23.41508,0.01
-0.1763276,0.5375721,23.41508,0.01
-0.2361042,0.5259048,23.41508,0.01
-0.2361042,0.5259048,23.41508,0.01
-0.2361042,0.5259048,23.41508,0.01
-0.2361042,0.5259048,23.41508,0.01
-0.2728122,0.4998734,23.41508,0.01
-0.2728122,0.4998734,23.41508,0.01
-0.2728122,0.4998734,23.41508,0.01
-0.3790611,0.2565657,23.41508,0.01
-0.3790611,0.2565657,23.41508,0.01
-0.3790611,0.2565657,23.41508,0.01
-0.1251784,0.1185483,23.41508,0.01
-0.1251784,0.1185483,23.41508,0.01
-0.1251784,0.1185483,23.41508,0.01
-0.1251784,0.1185483,23.41508,0.01
-0.1351041,0.7428967,23.41508,0.01
-0.1351041,0.7428967,23.41508,0.01
-0.1351041,0.7428967,23.41508,0.01
1.013556,-0.06675911,23.41508,0.01
1.013556,-0.06675911,23.41508,0.01
1.013556,-0.06675911,23.41508,0.01
2.016188,-0.10659,23.41508,0.01
2.236174,-0.1340664,23.41508,0.01
2.247341,-0.1368727,23.41508,0.01
2.267143,-0.1267885,23.41508,0.01
2.2849,-0.1025042,23.41508,0.01
2.2849,-0.1025042,23.41508,0.01
2.301138,-0.06065142,23.41508,0.01
1.496678,-0.05207008,23.41508,0.01
