x,y,z,size
4.063609,-0.4561095,56.44595,0.01
4.063609,-0.4561095,56.44595,0.01
4.063609,-0.4561095,56.44595,0.01
3.485099,-0.2894738,56.44595,0.01
3.450462,-0.2842697,56.44595,0.01
3.450462,-0.2842697,56.44595,0.01
3.353065,-0.2821654,56.44595,0.01
3.353065,-0.2821654,56.44595,0.01
3.353065,-0.2821654,56.44595,0.01
3.353065,-0.2821654,56.44595,0.01
3.143133,-0.5218401,56.44595,0.01
3.107433,-0.5435024,56.44595,0.01
3.107433,-0.5435024,56.44595,0.01
3.133859,-0.7100512,56.44595,0.01
3.133859,-0.7100512,56.44595,0.01
3.133859,-0.7100512,56.44595,0.01
3.065741,-0.7918452,56.44595,0.01
3.065741,-0.7918452,56.44595,0.01
3.065741,-0.7918452,56.44595,0.01
3.065741,-0.7918452,56.44595,0.01
2.946833,-0.8281658,56.44595,0.01
2.946833,-0.8281658,56.44595,0.01
2.946833,-0.8281658,56.44595,0.01
2.951458,-0.8746855,56.44595,0.01
2.951458,-0.8746855,56.44595,0.01
2.951458,-0.8746855,56.44595,0.01
3.222973,-0.8694393,56.44595,0.01
3.222973,-0.8694393,56.44595,0.01
3.222973,-0.8694393,56.44595,0.01
3.222973,-0.8694393,56.44595,0.01
3.456622,-0.8707982,56.44595,0.01
3.456622,-0.8707982,56.44595,0.01
3.456622,-0.8707982,56.44595,0.01
3.402037,-0.8624165,56.44595,0.01
3.411327,-0.8626889,56.44595,0.01
3.411327,-0.8626889,56.44595,0.01
3.411327,-0.8626889,56.44595,0.01
3.367585,-0.9012741,56.44595,0.01
3.367585,-0.9012741,56.44595,0.01
3.367585,-0.9012741,56.44595,0.01
3.360888,-0.9645423,56.44595,0.01
3.360888,-0.9645423,56.44595,0.01
3.360888,-0.9645423,56.44595,0.01
3.23565,-1.029722,56.44595,0.01
3.23565,-1.029722,56.44595,0.01
3.23565,-1.029722,56.44595,0.01
3.23565,-1.029722,56.44595,0.01
2.967025,-1.05284,56.44595,0.01
2.967025,-1.05284,56.44595,0.01
2.967025,-1.05284,56.44595,0.01
-0.03361133,-0.7084147,56.44595,0.01
-0.03361133,-0.7084147,56.44595,0.01
-0.03361133,-0.7084147,56.44595,0.01
-0.1945415,-0.6091032,56.44595,0.01
-0.1945415,-0.6091032,56.44595,0.01
-0.1945415,-0.6091032,56.44595,0.01
-0.1945415,-0.6091032,56.44595,0.01
-0.1963747,-0.5760574,56.44595,0.01
-0.1963747,-0.5760574,56.44595,0.01
-0.1963747,-0.5760574,56.44595,0.01
-0.2156489,-0.5766364,56.44595,0.01
-0.2156489,-0.5766364,56.44595,0.01
-0.2156489,-0.5766364,56.44595,0.01
-0.3184325,-0.6192505,56.44595,0.01
-0.3184325,-0.6192505,56.44595,0.01
-0.3184325,-0.6192505,56.44595,0.01
-0.3184325,-0.6192505,56.44595,0.01
-0.3599375,-0.6573282,56.44595,0.01
-0.3599375,-0.6573282,56.44595,0.01
-0.3599375,-0.6573282,56.44595,0.01
-0.3377498,-0.6692863,56.44595,0.01
-0.3377498,-0.6692863,56.44595,0.01
-0.3377498,-0.6692863,56.44595,0.01
-0.3683576,-0.6873845,56.44595,0.01
-0.3683576,-0.6873845,56.44595,0.01
-0.3683576,-0.6873845,56.44595,0.01
-0.3683576,-0.6873845,56.44595,0.01
-0.4539031,-0.6949776,56.44595,0.01
-0.4539031,-0.6949776,56.44595,0.01
-0.4539031,-0.6949776,56.44595,0.01
4.731863,-0.5920057,56.44595,0.01
4.731863,-0.5920057,56.44595,0.01
4.731863,-0.5920057,56.44595,0.01
4.731863,-0.5920057,56.44595,0.01
5.712201,-0.550576,56.44595,0.01
5.712201,-0.550576,56.44595,0.01
5.712201,-0.550576,56.44595,0.01
5.872047,-0.5307384,56.44595,0.01
5.872047,-0.5307384,56.44595,0.01
5.872047,-0.5307384,56.44595,0.01
6.026754,-0.7268521,56.44595,0.01
6.026754,-0.7268521,56.44595,0.01
6.026754,-0.7268521,56.44595,0.01
6.026754,-0.7268521,56.44595,0.01
6.047694,-0.8703831,56.44595,0.01
6.047694,-0.8703831,56.44595,0.01
6.047694,-0.8703831,56.44595,0.01
1.603324,-2.168654,56.44595,0.01
1.603324,-2.168654,56.44595,0.01
1.603324,-2.168654,56.44595,0.01
1.834945,-1.886649,56.44595,0.01
1.834945,-1.886649,56.44595,0.01
1.834945,-1.886649,56.44595,0.01
1.910627,-1.892801,56.44595,0.01
1.910627,-1.892801,56.44595,0.01
1.910627,-1.892801,56.44595,0.01
1.953148,-1.897242,56.44595,0.01
1.953148,-1.897242,56.44595,0.01
1.953148,-1.897242,56.44595,0.01
1.885363,-0.006052375,56.44595,0.01
1.885363,-0.006052375,56.44595,0.01
1.885363,-0.006052375,56.44595,0.01
1.931118,2.090417,56.44595,0.01
1.931118,2.090417,56.44595,0.01
1.931118,2.090417,56.44595,0.01
1.920226,2.025573,56.44595,0.01
1.920226,2.025573,56.44595,0.01
1.917868,2.005331,56.44595,0.01
1.864305,1.988708,56.44595,0.01
1.830015,1.997944,56.44595,0.01
1.794636,2.059225,56.44595,0.01
1.750623,2.481456,56.44595,0.01
1.699444,3.220188,56.44595,0.01
1.698218,3.379322,56.44595,0.01
1.678105,3.58183,56.44595,0.01
1.687059,3.639592,56.44595,0.01
1.678751,3.677025,56.44595,0.01
1.677638,3.735795,56.44595,0.01
1.683319,3.780957,56.44595,0.01
1.680133,3.777244,56.44595,0.01
1.667094,3.727233,56.44595,0.01
1.657178,3.715396,56.44595,0.01
1.6569,3.69557,56.44595,0.01
1.500513,3.597501,56.44595,0.01
-3.297875,1.925204,56.44595,0.01
-5.327943,0.2814174,56.44595,0.01
-5.90316,-0.3619329,56.44595,0.01
-6.027657,-0.457919,56.44595,0.01
-6.130451,-0.5102823,56.44595,0.01
-6.289076,-0.6157109,56.44595,0.01
-6.368939,-0.6801598,56.44595,0.01
-6.482565,-0.778791,56.44595,0.01
-6.610883,-0.8345344,56.44595,0.01
-6.707465,-0.9215074,56.44595,0.01
-6.856453,-0.9766967,56.44595,0.01
-7.124304,-0.6525112,56.44595,0.01
-7.346571,-0.4710498,56.44595,0.01
-7.493273,-0.3501015,56.44595,0.01
-7.622425,-0.1905124,56.44595,0.01
-7.626283,-0.07489491,56.44595,0.01
-7.719593,-0.03789759,56.44595,0.01
-7.682299,0.06323582,56.44595,0.01
-6.049508,1.061109,56.44595,0.01
-5.654339,1.367494,56.44595,0.01
-5.547863,1.503225,56.44595,0.01
-5.398321,1.654067,56.44595,0.01
-5.43924,1.742075,56.44595,0.01
-5.397534,1.815969,56.44595,0.01
-5.246884,1.949955,56.44595,0.01
-5.257387,2.026931,56.44595,0.01
-5.296072,2.064267,56.44595,0.01
-5.326516,2.197711,56.44595,0.01
-5.386062,2.317472,56.44595,0.01
-5.41919,2.302952,56.44595,0.01
-5.574208,2.270975,56.44595,0.01
-5.657829,2.183053,56.44595,0.01
-5.586263,2.052928,56.44595,0.01
-5.596469,2.061613,56.44595,0.01
-5.750887,2.073731,56.44595,0.01
-5.617368,2.150347,56.44595,0.01
-5.611667,2.217295,56.44595,0.01
-5.621148,2.28152,56.44595,0.01
-5.399888,2.281616,56.44595,0.01
-5.31489,2.240671,56.44595,0.01
-5.250705,2.213719,56.44595,0.01
-5.033216,2.149293,56.44595,0.01
-4.908219,2.12053,56.44595,0.01
-4.788356,2.102876,56.44595,0.01
-4.618746,2.10014,56.44595,0.01
0.6983832,1.144428,56.44595,0.01
2.152292,0.1699862,56.44595,0.01
2.612548,-0.4087197,56.44595,0.01
2.707587,-0.5638196,56.44595,0.01
2.835922,-0.6434813,56.44595,0.01
2.954164,-0.6711854,56.44595,0.01
3.06402,-0.6557134,56.44595,0.01
3.13753,-0.6276908,56.44595,0.01
3.071806,-0.6400379,56.44595,0.01
2.992421,-0.6519516,56.44595,0.01
2.926057,-0.6849192,56.44595,0.01
2.869906,-0.6758734,56.44595,0.01
2.816667,-0.6552002,56.44595,0.01
2.734936,-0.5944748,56.44595,0.01
2.713978,-0.5807692,56.44595,0.01
2.70989,-0.6118299,56.44595,0.01
2.795593,-0.6473982,56.44595,0.01
2.943428,-0.668081,56.44595,0.01
3.061557,-0.6924905,56.44595,0.01
3.180924,-0.6644534,56.44595,0.01
3.215826,-0.6206293,56.44595,0.01
3.226228,-0.5973839,56.44595,0.01
3.391053,-0.6873205,56.44595,0.01
5.433666,-2.276997,56.44595,0.01
7.09645,-3.430275,56.44595,0.01
7.571951,-3.711734,56.44595,0.01
7.786805,-3.819199,56.44595,0.01
7.899031,-3.890906,56.44595,0.01
8.013362,-3.943811,56.44595,0.01
8.014282,-3.940777,56.44595,0.01
7.933009,-3.927702,56.44595,0.01
7.990144,-3.864811,56.44595,0.01
8.073877,-3.763579,56.44595,0.01
8.08602,-3.638822,56.44595,0.01
8.323786,-3.35199,56.44595,0.01
8.714136,0.8186482,56.44595,0.01
8.966408,2.640607,56.44595,0.01
9.124791,2.777464,56.44595,0.01
9.146577,2.881945,56.44595,0.01
9.242502,3.252062,56.44595,0.01
9.995296,4.468032,56.44595,0.01
10.8761,4.966491,56.44595,0.01
11.06016,4.990282,56.44595,0.01
11.30228,5.028868,56.44595,0.01
11.2817,5.088074,56.44595,0.01
6.513444,5.113028,56.44595,0.01
1.868338,4.343266,56.44595,0.01
1.577354,3.885042,56.44595,0.01
1.553282,3.655427,56.44595,0.01
1.479215,3.493464,56.44595,0.01
1.508187,3.490482,56.44595,0.01
1.542844,3.45443,56.44595,0.01
1.468084,3.424487,56.44595,0.01
1.452991,3.44165,56.44595,0.01
1.433539,3.427051,56.44595,0.01
1.344677,3.411559,56.44595,0.01
1.210938,3.412064,56.44595,0.01
1.135848,3.425991,56.44595,0.01
1.062724,3.446569,56.44595,0.01
0.9185601,3.438752,56.44595,0.01
0.8630258,3.524076,56.44595,0.01
0.5310309,3.5253,56.44595,0.01
0.1412801,3.262993,56.44595,0.01
-0.06674223,3.082222,56.44595,0.01
-0.1605766,2.996798,56.44595,0.01
-0.1486904,2.977943,56.44595,0.01
-0.04161024,2.998164,56.44595,0.01
0.09476873,3.01027,56.44595,0.01
0.2516997,2.966815,56.44595,0.01
0.4080617,2.718501,56.44595,0.01
0.642746,-0.07563597,56.44595,0.01
1.139325,-1.423996,56.44595,0.01
1.051743,-0.295663,56.44595,0.01
1.040061,0.2146829,56.44595,0.01
1.008252,0.5937821,56.44595,0.01
0.9622881,0.7445058,56.44595,0.01
0.8840131,0.824766,56.44595,0.01
0.7843106,0.9021664,56.44595,0.01
0.7313221,0.9553094,56.44595,0.01
